question_id,question,human_category
1,Immanuel Kant criticized Emanuel Swedenborg and termed him a âspook hunterâ.,historia
2,Clouds are made up of these.,ciencia
3,This formation is a conical hill or mountain. It is formed by mantle material being pressed through an opening in the Earths crust.,geografia
4,"Japan suffers from this event very often. It is the sudden, light or violent movement of the earths surface caused by the release of energy in the earths crust.",geografia
5,It is the only continent that does not have land areas below sea level.,geografia
6,It is the longest river in the world,geografia
7,"Why do travelers to La Paz, Bolivia, often become ill as soon as they arrive?",geografia
8,"In the US, why do we change our clocks on the daylight saving time dates in April and October?",geografia
9,These are places of arid land with really low rainfall and high tempertures variation. Their vegetation is insignificant and the population of people and animals is very limited.,geografia
10,This is a gemstone made by fossilized tree sap that is at least 30 million years old.,historia
11,This is the largest island on Earth and one third of it is a national park.,geografia
12,Which of these organs has no known function in the human body?,ciencia
13,The main function of this organ of respiration is to transport oxygen from the atmosphere into the bloodstream.,ciencia
14,This gland is shaped like a butterfly and helps regulate energy in the body.,ciencia
15,"The cerebellum section of the brain controls the fine movement and equilibrium, among other things.",ciencia
16,These organs are very sensitive and often fail in people with very high blood pressure or diabetes.,ciencia
17,Tooth enamel is the hardest substance in the body.,ciencia
18,This is one of the first signs of pregnancy.,ciencia
19,This doctor takes care of you and your baby during pregnancy.,ciencia
20,What is the most common method of child birth?,ciencia
21,The mother determines the sex of the baby.,ciencia
22,What are common side effects of pregnancy?,ciencia
23,"How far along are you approximately, when you feel the baby move for the first time?",ciencia
24,What is suggested that you not do several hours before you go into labor?  It could get you embarrassed.,ciencia
25,What is also delivered along with the baby or immediately after its birth?,ciencia
26,These small bodies are considered left overs from the formation of the Solar system some 4.6 billion years ago.,ciencia
27,These are lumps of ice and dust.  When they get close enough to the Sun they gradually evaporate.  Jets of gas and dust create long tails that people can see from Earth.,ciencia
28,This planet is slightly smaller than Earth and its closest neighbor (excluding the Moon).,ciencia
29,"This planet is has the largest  group of moons - 31, but it is best known for its ring system.",ciencia
30,This planet of the Solar System was named after a Greek god of the sea and earthquakes. The name is actually the Roman translation of the gods name.,historia
31,"As this is the closest planet to the Sun, its temperatures at the surface range between -300 and 800 F (hot enough for lead to melt).",ciencia
32,"The surface of this planet is unique, it is the only one which has water in large quantities.",ciencia
34,This is the largest planet in our solar system. It is most famous for its Great Red Spot.,ciencia
35,"Miranda, Ariel, Umbriel, Titania, Oberon, Caliban, and Sycorax are names of the icy moons of this planet.",ciencia
36,"The popular chat room abbreviation asl or a/s/l stands for age, sex, and location.",geografia
37,An icon or animation to represent a participant used in Internet chat and games is referred to as this.,historia
38,"If you and I are chatting over the Internet and I write LOL, that means that I am doing this.",historia
39,The terms smiley and emoticon refer to one and the same thing.,historia
40,http://www.123facts.com/ is referred to as this.,entretenimiento
